,Date,Capacity,Turnover,Open,High,Low,Close,Change,Trascation
0,2020-01-02,4882015,476649683,97.05,98.0,97.05,97.65,0.7,2421
1,2020-01-03,6813547,665657992,98.3,98.7,97.0,97.65,0.0,3080
2,2020-01-06,9321768,901060879,97.05,97.1,96.4,96.4,-1.25,4809
3,2020-01-07,6328602,607425541,96.45,96.7,95.4,96.1,-0.3,4116
4,2020-01-08,8516995,813733739,95.2,96.2,95.05,95.65,-0.45,5033
5,2020-01-09,7163943,693086421,96.3,97.1,96.3,96.95,1.3,3879
6,2020-01-10,9071925,882408791,97.5,97.8,96.95,97.3,0.35,4900
7,2020-01-13,6650898,650806854,97.85,98.1,97.5,98.0,0.7,2883
8,2020-01-14,11544956,1138704185,98.5,98.85,98.4,98.6,0.6,6403
9,2020-01-15,10259354,1004716001,98.7,98.7,97.45,97.6,-1.0,5316
10,2020-01-16,8686499,844614108,97.15,97.5,97.0,97.3,-0.3,2646
11,2020-01-17,8121134,791003262,97.7,97.75,97.1,97.3,0.0,2944
12,2020-01-20,6969945,681688026,97.55,98.0,97.55,97.7,0.4,3130
13,2020-01-30,32262874,3014149166,95.0,95.0,92.15,92.15,-5.55,16273
14,2020-01-31,22497767,2030143514,90.65,90.65,89.65,89.95,0.0,11950
15,2020-02-03,15823593,1401640343,88.5,89.15,87.6,89.05,-0.9,7843
16,2020-02-04,8904471,804708649,89.45,90.95,89.2,90.6,1.55,4851
17,2020-02-05,6701508,609037681,91.0,91.3,90.3,90.85,0.25,4001
18,2020-02-06,10696477,982277669,91.65,92.3,91.35,92.3,1.45,4113
19,2020-02-07,9554828,871832328,91.65,91.65,90.95,91.2,-1.1,4992
20,2020-02-10,7308908,661411947,90.0,91.2,89.6,91.0,-0.2,3838
21,2020-02-11,5115402,468988015,91.35,91.95,91.35,91.75,0.75,3724
22,2020-02-12,5640117,521567062,92.0,92.9,92.0,92.65,0.9,2845
23,2020-02-13,5754317,534947681,93.0,93.25,92.7,92.8,0.15,2530
24,2020-02-14,4988165,463738591,92.8,93.25,92.55,92.95,0.15,2592
25,2020-02-17,6266211,578240762,92.3,92.55,91.95,92.3,-0.65,2983
26,2020-02-18,12529356,1143154993,91.4,91.6,91.0,91.05,-1.25,6041
27,2020-02-19,7947011,730212458,91.15,92.25,91.05,92.1,1.05,3934
28,2020-02-20,6538336,599664476,92.35,92.5,91.35,91.7,-0.4,2619
29,2020-02-21,5401188,493195200,91.65,91.95,90.95,91.25,-0.45,2963
30,2020-02-24,13571936,1222019338,90.25,90.4,89.7,90.1,-1.15,7797
31,2020-02-25,8840104,796170580,89.5,90.5,89.45,90.35,0.25,3943
32,2020-02-26,15256003,1362216157,89.15,89.75,88.9,89.45,-0.9,7889
33,2020-02-27,24688054,2190387154,89.35,89.5,88.35,88.65,-0.8,12829
34,2020-03-02,27894641,2437814508,87.5,88.25,86.85,87.35,-1.3,12628
35,2020-03-03,11071900,980838153,88.85,88.95,88.25,88.6,1.25,5903
36,2020-03-04,8437415,749733154,88.8,89.2,88.4,89.2,0.6,3541
37,2020-03-05,9785483,881048721,89.8,90.25,89.75,90.2,1.0,5246
38,2020-03-06,17096376,1515504581,89.65,89.65,88.3,88.35,-1.85,8153
39,2020-03-09,27734426,2389878137,86.8,86.8,85.6,85.85,-2.5,16049
40,2020-03-10,23784345,2031046781,85.0,86.3,84.9,86.3,0.45,10444
41,2020-03-11,15306570,1315633871,86.45,86.55,85.05,85.3,-1.0,7642
42,2020-03-12,44910246,3702402943,84.5,84.5,81.15,82.15,-3.15,19425
43,2020-03-13,53704860,4165969502,78.0,81.4,75.95,81.0,-1.15,22286
44,2020-03-16,33813951,2652927807,80.0,80.4,76.95,77.3,-3.7,17505
45,2020-03-17,51145832,3843020137,74.3,76.7,74.3,74.85,-2.45,20922
46,2020-03-18,46790503,3463425684,74.95,75.25,72.8,72.8,-2.05,23021
47,2020-03-19,68038340,4709268810,71.0,71.0,67.25,68.55,-4.25,27999
48,2020-03-20,40910533,2966513589,71.0,74.0,70.9,74.0,5.45,20786
49,2020-03-23,22465117,1599805748,71.0,72.1,69.55,70.8,-3.2,12011
50,2020-03-24,26956843,2009808259,73.85,75.3,73.7,74.25,3.45,13009
51,2020-03-25,32687820,2515225203,76.8,77.45,76.1,76.85,2.6,17188
52,2020-03-26,19215688,1477391870,77.4,77.45,76.0,77.2,0.35,9509
53,2020-03-27,21953901,1706695527,78.3,78.7,76.45,76.6,-0.6,12164
54,2020-03-30,13605883,1021517958,74.7,76.15,74.05,75.85,-0.75,7322
55,2020-03-31,9764000,745847201,76.8,77.2,75.6,76.15,0.3,5249
56,2020-04-01,9948017,757960266,76.5,76.65,75.85,75.9,-0.25,4967
57,2020-04-06,12207626,935731083,76.95,77.1,75.75,77.05,1.15,5824
58,2020-04-07,15302038,1200849513,78.5,78.9,78.05,78.5,1.45,8794
59,2020-04-08,15230698,1205900652,78.5,79.7,78.35,79.6,1.1,8941
60,2020-04-09,15650105,1242814448,79.85,80.1,78.85,79.25,-0.35,8547
61,2020-04-10,5824779,460693342,79.0,79.35,78.7,79.3,0.05,3348
62,2020-04-13,7430914,586896106,79.0,79.4,78.55,78.8,-0.5,4389
63,2020-04-14,13121792,1054569152,79.05,80.95,79.05,80.95,2.15,7743
64,2020-04-15,17361116,1410800897,81.25,81.5,81.0,81.2,0.25,7137
65,2020-04-16,12409525,1001483225,80.2,81.1,80.05,80.8,-0.4,6925
66,2020-04-17,34532038,2879398225,83.0,84.0,82.7,83.25,2.45,11524
67,2020-04-20,12336416,1025144071,83.25,83.5,82.8,83.0,-0.25,5638
68,2020-04-21,21082454,1712306057,82.65,82.65,80.5,80.6,-2.4,11037
69,2020-04-22,10896151,871604621,80.0,80.6,79.5,80.6,0.0,5607
70,2020-04-23,13298948,1078973188,81.15,82.0,80.3,80.9,0.3,5546
71,2020-04-24,5764752,466004912,80.8,81.0,80.45,80.9,0.0,3025
72,2020-04-27,13917724,1144296195,82.15,82.6,81.65,82.55,1.65,5005
73,2020-04-28,7556661,622421135,82.9,82.9,82.0,82.55,0.0,4044
74,2020-04-29,11874079,992546626,83.05,83.9,82.95,83.7,1.15,5582
75,2020-04-30,18785156,1597420751,84.45,85.5,84.4,85.5,1.8,8305
76,2020-05-04,15648380,1296408090,82.4,83.3,82.2,83.0,-2.5,8848
77,2020-05-05,7810636,651512279,83.5,83.8,83.0,83.4,0.4,3986
