,Date,Capacity,Turnover,Open,High,Low,Close,Change,Trascation
78,2020-05-06,6142593,511218824,83.3,83.75,82.6,83.5,0.1,3610
79,2020-05-07,6140995,514715030,83.5,84.15,83.3,83.85,0.35,3429
80,2020-05-08,6034013,508981564,84.6,84.75,84.0,84.35,0.5,3530
81,2020-05-11,6655422,566557718,85.0,85.4,84.7,85.05,0.7,4065
82,2020-05-12,11549365,970944184,84.6,84.6,83.65,84.05,-1.0,6496
83,2020-05-13,4967165,417187216,83.7,84.4,83.6,84.3,0.25,2672
84,2020-05-14,8743268,729929358,83.8,83.85,83.2,83.3,-1.0,4975
85,2020-05-15,6190781,518392098,84.05,84.25,83.05,83.85,0.55,3135
86,2020-05-18,8271703,687412937,83.05,83.45,82.8,83.15,-0.7,4054
87,2020-05-19,5477775,460004900,84.4,84.5,83.65,83.9,0.75,3225
88,2020-05-20,9894141,830898729,84.0,84.2,83.5,83.8,-0.1,8013
89,2020-05-21,7568047,639149173,84.15,84.8,84.1,84.5,0.7,3658
90,2020-05-22,13354146,1110886948,83.8,83.9,82.9,82.95,-1.55,8390
91,2020-05-25,5250544,435011428,83.15,83.5,82.15,83.5,0.55,3380
92,2020-05-26,15454949,1305177905,84.25,84.65,83.85,84.45,0.95,5465
