,Date,Capacity,Turnover,Open,High,Low,Close,Change,Trascation
0,2020-05-04,35159046,942386349,26.55,27.0,26.5,26.8,-0.5,12074
1,2020-05-05,18691633,503091641,26.95,27.15,26.7,26.85,0.05,6007
2,2020-05-06,21081052,564306510,26.8,26.9,26.55,26.85,0.0,6958
3,2020-05-07,20174235,541892536,26.85,27.0,26.7,26.8,-0.05,5559
4,2020-05-08,23129960,621474089,26.85,27.0,26.8,26.85,0.05,6242
5,2020-05-11,30746530,832782982,27.05,27.15,27.0,27.05,0.2,7911
6,2020-05-12,25969857,698921131,26.95,27.0,26.85,26.85,-0.2,8789
7,2020-05-13,17841994,482467048,26.8,27.15,26.75,27.15,0.3,6191
8,2020-05-14,22264653,599839512,27.05,27.05,26.8,26.9,-0.25,8264
9,2020-05-15,18584346,500765073,27.0,27.1,26.8,26.95,0.05,5645
10,2020-05-18,42286752,1126188054,26.95,27.0,26.75,26.8,-0.15,7333
11,2020-05-19,66144695,1749060590,27.1,27.15,26.9,26.9,0.1,6283
12,2020-05-20,23220111,627365197,27.1,27.15,26.9,27.0,0.1,6807
13,2020-05-21,23557581,636437448,27.05,27.1,26.9,27.0,0.0,6400
14,2020-05-22,42037216,1127582504,26.95,27.0,26.75,26.75,-0.25,14129
15,2020-05-25,18132963,484582901,26.75,26.85,26.55,26.85,0.1,6575
