,Date,Capacity,Turnover,Open,High,Low,Close,Change,Trascation
0,2020-05-04,18232088,345279406,18.7,19.15,18.7,19.0,-0.45,6019
1,2020-05-05,7906751,150965340,19.2,19.2,19.0,19.05,0.05,3227
2,2020-05-06,10087845,191473395,19.05,19.1,18.9,18.95,-0.1,4191
3,2020-05-07,6485922,123250956,18.95,19.15,18.95,18.95,0.0,2795
4,2020-05-08,8133631,155330211,19.1,19.2,19.05,19.05,0.1,2428
5,2020-05-11,14120328,274037783,19.25,19.55,19.2,19.35,0.3,4245
6,2020-05-12,12694770,243678371,19.25,19.3,19.15,19.15,-0.2,4129
7,2020-05-13,7935683,152317749,19.1,19.3,19.1,19.2,0.05,2745
8,2020-05-14,9504811,181490516,19.15,19.2,19.05,19.05,-0.15,3653
9,2020-05-15,11213678,213735451,19.1,19.2,19.0,19.0,-0.05,3441
10,2020-05-18,9120595,173652219,19.0,19.1,18.95,19.0,0.0,2889
11,2020-05-19,9457500,182370293,19.4,19.4,19.15,19.3,0.3,2640
12,2020-05-20,8125436,157056877,19.35,19.4,19.25,19.4,0.1,3076
13,2020-05-21,9657905,187607639,19.4,19.5,19.3,19.4,0.0,2957
14,2020-05-22,14943755,286775545,19.4,19.4,19.1,19.1,-0.3,5561
15,2020-05-25,6501903,124343089,19.15,19.2,19.05,19.2,0.1,2183
