,Date,Capacity,Turnover,Open,High,Low,Close,Change,Trascation
33,2020-02-27,56537310,1582527980,28.3,28.39,27.83,27.9,-0.4,24605
34,2020-03-02,48021434,1323894490,27.7,27.9,27.2,27.75,-0.15,19363
35,2020-03-03,26979859,756202839,28.15,28.2,27.92,27.93,0.18,11004
36,2020-03-04,21853847,607769899,27.93,27.93,27.71,27.86,-0.07,10062
37,2020-03-05,13650787,383064015,28.01,28.1,28.0,28.1,0.24,5729
38,2020-03-06,27963318,778670023,28.01,28.01,27.75,27.88,-0.22,12838
39,2020-03-09,96841145,2646083430,27.49,27.52,27.17,27.25,-0.63,41851
40,2020-03-10,70307269,1891740596,26.8,27.26,26.76,27.25,0.0,30789
41,2020-03-11,38279695,1039685613,27.34,27.39,26.93,26.97,-0.28,18838
42,2020-03-12,155640188,4051650736,26.73,26.73,25.71,25.93,-1.04,69580
43,2020-03-13,157473670,3832900047,24.35,25.32,24.02,25.29,-0.64,65517
44,2020-03-16,92824206,2297360656,25.1,25.24,24.4,24.41,-0.88,44641
45,2020-03-17,103620788,2461541623,23.57,24.29,23.43,23.67,-0.74,43285
46,2020-03-18,80530934,1897973002,23.7,23.82,23.26,23.29,-0.38,35938
47,2020-03-19,137455783,3038195108,22.88,22.88,21.45,21.85,-1.44,58603
48,2020-03-20,88557505,2033834118,22.25,23.55,22.21,23.28,1.43,36112
49,2020-03-23,53865745,1213799283,22.69,22.8,22.2,22.49,-0.79,25196
50,2020-03-24,36966718,862933819,23.1,23.5,23.1,23.38,0.89,16262
51,2020-03-25,57250013,1387175462,24.11,24.35,24.01,24.09,0.71,25443
52,2020-03-26,33802267,815608436,24.34,24.34,23.81,24.26,0.17,14861
53,2020-03-27,46776958,1153124887,24.73,24.86,24.31,24.35,0.09,19572
54,2020-03-30,23158202,557438233,23.97,24.32,23.8,24.32,-0.03,10426
55,2020-03-31,20296378,497589734,24.59,24.65,24.38,24.49,0.17,9211
56,2020-04-01,17899482,438584753,24.49,24.58,24.41,24.52,0.03,7768
57,2020-04-06,23678372,584802556,24.9,24.92,24.5,24.84,0.32,11016
58,2020-04-07,31620054,796882951,25.12,25.29,25.12,25.22,0.38,13470
59,2020-04-08,41028247,1047972797,25.22,25.78,25.13,25.77,0.55,15646
60,2020-04-09,33849421,871980508,25.85,26.0,25.57,25.65,-0.12,15058
61,2020-04-10,12990586,333728278,25.65,25.75,25.6,25.73,0.08,6274
62,2020-04-13,16402804,421335596,25.73,25.77,25.51,25.68,-0.05,7941
63,2020-04-14,22847925,593001342,25.7,26.05,25.7,26.05,0.37,10295
64,2020-04-15,38186993,1007222642,26.2,26.48,26.19,26.47,0.42,15089
65,2020-04-16,20328897,536213250,26.4,26.48,26.15,26.44,-0.03,9896
66,2020-04-17,39596947,1057549748,26.8,27.0,26.44,26.5,0.06,17204
67,2020-04-20,17055801,452141733,26.5,26.61,26.38,26.6,0.1,7262
68,2020-04-21,34554572,906642548,26.45,26.59,26.06,26.1,-0.5,17167
69,2020-04-22,20875507,540502965,25.9,26.24,25.6,26.23,0.13,10124
70,2020-04-23,15977250,421616886,26.31,26.52,26.25,26.34,0.11,5929
71,2020-04-24,6231428,164023002,26.34,26.39,26.25,26.33,-0.01,3039
72,2020-04-27,25093073,669464667,26.68,26.81,26.5,26.79,0.46,9275
73,2020-04-28,17832362,479504766,26.9,26.99,26.75,26.91,0.12,7045
74,2020-04-29,24473149,662080939,26.96,27.11,26.96,27.07,0.16,9601
75,2020-04-30,35888109,982193977,27.2,27.49,27.2,27.46,0.39,13515
76,2020-05-04,26549120,716796493,26.91,27.15,26.7,27.09,-0.37,11474
77,2020-05-05,16350420,446505963,27.2,27.49,27.12,27.33,0.24,6590
78,2020-05-06,13113401,358154440,27.47,27.47,27.17,27.32,-0.01,6126
79,2020-05-07,17122291,469468358,27.31,27.52,27.27,27.4,0.08,6269
80,2020-05-08,15466458,426152468,27.6,27.66,27.48,27.5,0.1,5584
81,2020-05-11,13102769,362559212,27.64,27.72,27.6,27.66,0.16,5722
82,2020-05-12,10854060,299215751,27.6,27.64,27.52,27.55,-0.11,5727
83,2020-05-13,16134554,445649769,27.5,27.77,27.47,27.75,0.2,6073
84,2020-05-14,14959727,412478617,27.65,27.69,27.45,27.48,-0.27,7572
85,2020-05-15,13064863,358727897,27.6,27.69,27.23,27.43,-0.05,6095
86,2020-05-18,17472865,476570205,27.54,27.54,27.16,27.25,-0.18,8754
87,2020-05-19,11247174,308528788,27.5,27.55,27.37,27.43,0.18,6756
88,2020-05-20,11379613,312825020,27.43,27.54,27.42,27.48,0.05,6080
89,2020-05-21,21366548,590781303,27.56,27.74,27.56,27.63,0.15,7726
90,2020-05-22,17176132,472982811,27.63,27.63,27.45,27.45,-0.18,9191
91,2020-05-25,14008489,383335402,27.45,27.53,27.15,27.5,0.05,8381
92,2020-05-26,29948312,832063016,27.75,27.85,27.65,27.82,0.32,11230
93,2020-05-27,11105295,309594049,27.86,27.94,27.81,27.85,0.03,6879
94,2020-05-28,17214042,481202663,27.99,28.06,27.79,27.9,0.05,8185
95,2020-05-29,9501469,264193521,27.8,27.9,27.69,27.86,-0.04,5593
