,Date,Capacity,Turnover,Open,High,Low,Close,Change,Trascation
0,2020-01-02,12542463,364772213,29.0,29.12,28.99,29.09,0.12,3774
1,2020-01-03,15397477,449987180,29.15,29.43,29.04,29.18,0.09,5803
2,2020-01-06,12664714,367299926,29.18,29.18,28.95,28.96,-0.22,6281
3,2020-01-07,28160121,806477281,28.95,28.96,28.48,28.69,-0.27,11758
4,2020-01-08,18148599,517134432,28.56,28.69,28.3,28.5,-0.19,8179
5,2020-01-09,11167458,320681771,28.56,28.78,28.56,28.7,0.2,4291
6,2020-01-10,9414322,270273569,28.83,28.85,28.65,28.69,-0.01,4426
7,2020-01-13,9109161,262276665,28.73,28.85,28.7,28.84,0.15,4850
8,2020-01-14,8836874,256210839,28.91,29.02,28.91,29.02,0.18,4441
9,2020-01-15,9081284,263644908,29.03,29.09,29.0,29.01,-0.01,4338
10,2020-01-16,11087219,322427243,29.11,29.12,28.95,29.1,0.09,7349
11,2020-01-17,11756156,342826201,29.13,29.19,29.09,29.16,0.06,4838
12,2020-01-20,8166082,238412129,29.17,29.22,29.16,29.19,0.03,4430
13,2020-01-30,124629153,3463936584,28.5,28.5,27.5,27.7,-1.49,51138
14,2020-01-31,43237283,1204474221,27.71,28.0,27.61,27.92,0.22,17976
15,2020-02-03,45081773,1232880005,27.42,27.75,26.85,27.74,-0.18,17485
16,2020-02-04,15739871,439889462,27.83,28.12,27.71,28.12,0.38,6763
17,2020-02-05,13922740,391204283,28.24,28.25,28.0,28.08,-0.04,6806
18,2020-02-06,15996571,452572008,28.35,28.44,28.18,28.44,0.36,7146
19,2020-02-07,12253406,346368784,28.38,28.38,28.2,28.23,-0.21,4707
20,2020-02-10,18717739,525106924,28.0,28.23,27.8,28.14,-0.09,6607
21,2020-02-11,7079932,200297926,28.2,28.34,28.2,28.34,0.2,2852
22,2020-02-12,12239828,348673622,28.36,28.57,28.36,28.56,0.22,4730
23,2020-02-13,14950526,428962352,28.6,28.79,28.6,28.64,0.08,5060
24,2020-02-14,9659751,277668138,28.64,28.82,28.63,28.79,0.15,3706
25,2020-02-17,14439906,415271621,28.78,28.87,28.6,28.8,0.01,5859
26,2020-02-18,12272396,353717841,28.77,28.92,28.74,28.8,0.0,5901
27,2020-02-19,11357954,328195776,28.8,28.99,28.78,28.96,0.16,4082
28,2020-02-20,8809420,255117539,29.0,29.06,28.87,28.93,-0.03,3915
29,2020-02-21,5864280,169385080,28.91,28.99,28.85,28.9,-0.03,2927
30,2020-02-24,14095127,404040210,28.77,28.77,28.59,28.7,-0.2,6607
31,2020-02-25,11318028,323203381,28.45,28.7,28.36,28.67,-0.03,5321
32,2020-02-26,34883285,991135939,28.5,28.55,28.3,28.3,-0.37,12847
