,Date,Capacity,Turnover,Open,High,Low,Close,Change,Trascation
0,2020-05-04,9705000,561866000,58.0,58.9,56.0,58.9,5.3,5200
1,2020-05-05,7897000,502844000,63.0,64.7,62.5,64.7,5.8,3904
2,2020-05-06,3293000,234101000,71.1,71.1,71.1,71.1,6.4,1192
3,2020-05-07,25475000,1949981000,78.2,78.2,71.1,78.2,7.1,13898
4,2020-05-08,15968000,1174327000,77.0,77.2,70.4,70.4,-7.8,10775
5,2020-05-11,15545000,1031892000,67.9,72.8,63.4,66.5,-3.9,9668
6,2020-05-12,7870000,524733000,64.2,68.5,64.2,68.2,1.7,5337
7,2020-05-13,14396000,1042633000,70.0,75.0,69.0,75.0,6.8,9190
8,2020-05-14,14002000,1051428000,73.9,78.7,71.9,73.1,-1.9,8912
9,2020-05-15,5685000,414191000,74.0,74.9,70.2,72.1,-1.0,3839
10,2020-05-18,11140000,860292000,73.2,79.2,73.2,78.0,5.9,7547
11,2020-05-19,6175000,529816000,85.8,85.8,85.8,85.8,7.8,2861
12,2020-05-20,18534000,1547711000,78.1,91.1,78.1,84.6,-1.2,12635
13,2020-05-21,8281000,693986000,84.0,86.4,82.0,83.1,-1.5,5857
14,2020-05-22,17684000,1568898000,82.7,91.4,82.5,91.4,8.3,11355
15,2020-05-25,15888000,1561404000,94.0,100.5,94.0,100.5,9.1,9102
