,Date,Capacity,Turnover,Open,High,Low,Close,Change,Trascation
0,2020-05-04,72252861,21341931218,294.5,296.5,294.0,295.0,-9.5,37736
1,2020-05-05,23988405,7104774785,296.5,298.0,295.0,295.5,0.5,13569
2,2020-05-06,35704479,10524838077,294.5,296.0,292.5,296.0,0.5,16046
3,2020-05-07,28017198,8321170642,294.5,299.0,294.5,297.5,1.5,13149
4,2020-05-08,35613893,10619091212,300.0,300.0,296.0,297.5,0.0,14345
5,2020-05-11,32379019,9729431840,300.0,301.5,298.5,301.0,3.5,14920
6,2020-05-12,52494788,15553012596,297.5,298.5,295.0,295.0,-6.0,29073
7,2020-05-13,46158418,13619538824,293.0,297.0,292.5,297.0,2.0,14555
8,2020-05-14,34480948,10119787160,293.0,295.0,292.5,293.0,-4.0,21482
9,2020-05-15,44304804,13170466660,297.5,298.5,294.5,298.0,5.0,20071
10,2020-05-18,96872065,28216346996,291.0,293.5,290.0,290.0,-8.0,49640
11,2020-05-19,53083214,15527338138,294.0,294.0,291.5,291.5,1.5,22033
12,2020-05-20,36789994,10772280152,293.0,294.0,291.0,294.0,2.5,16906
13,2020-05-21,36299468,10782482962,296.0,298.0,295.0,297.5,3.5,17064
14,2020-05-22,41138923,12025339565,294.5,295.0,291.0,292.0,-5.5,22345
15,2020-05-25,32942223,9568008388,290.5,293.0,288.5,292.0,0.0,14585
