,Date,Capacity,Turnover,Open,High,Low,Close,Change,Trascation
0,2020-05-04,8679779,940528757,108.0,109.0,108.0,109.0,-0.5,3870
1,2020-05-05,4527838,494758218,109.0,109.5,109.0,109.0,0.0,2936
2,2020-05-06,6254989,684008222,109.5,109.5,109.0,109.5,0.5,3145
3,2020-05-07,5621611,614503374,109.5,110.0,109.0,109.0,-0.5,3004
4,2020-05-08,21851610,2410267100,110.0,111.5,109.5,110.0,1.0,3843
5,2020-05-11,5093599,561392390,110.5,111.0,110.0,110.0,0.0,2786
6,2020-05-12,4715049,518373890,110.0,110.5,109.5,110.0,0.0,2415
7,2020-05-13,4542908,499393380,110.0,110.5,109.5,110.0,0.0,1821
8,2020-05-14,3616369,397045090,110.0,110.0,109.5,110.0,0.0,1758
9,2020-05-15,5178243,568691730,110.0,110.5,109.5,109.5,-0.5,2056
10,2020-05-18,8188535,902769045,109.5,111.0,109.5,110.5,1.0,3255
11,2020-05-19,7118181,789793091,111.5,111.5,110.5,111.0,0.5,2603
12,2020-05-20,5522356,614697016,111.0,111.5,111.0,111.5,0.5,2883
13,2020-05-21,5396999,600133389,111.5,111.5,110.5,111.5,0.0,2675
14,2020-05-22,11160959,1243492449,111.0,112.0,110.5,111.0,-0.5,2452
15,2020-05-25,4554250,504404250,111.5,111.5,110.5,110.5,-0.5,1666
